ZBAA;Beijing
ZYCC;Changchun
ZGCS;Changsha
ZUUU;Chengdu
ZUCK;Chongqing
ZYTL;Dalian
ZSFZ;Fuzhou
ZSGZ;Ganzhou
ZGGG;Guangzhou
ZGKL;Guilin
ZUGY;Guiyang
ZGHK;Haikou
ZWHM;Hami
ZSHC;Hangzhou
ZSOF;Hefei
ZBHH;Hohhot
ZWTN;Hotan
ZSTN;Jinan
ZLJQ;Jiuquan
ZWSH;Kashi
ZPPP;Kunming
ZULS;Lhasa
ZSCN;Nanchang
ZSNJ;Nanjing
ZGNN;Nanning
ZSQD;Qingdao
ZYQQ;Qiqihar
ZSSS;Shanghai
ZGOW;Shantou
ZGSZ;Shenzhen
ZBYN;Taiyuan
ZBTJ;Tianjin
ZWWW;Urum-Qi
ZHHH;Wuhan
ZLSN;Xi'An
ZSAM;Xiamen
ZLXN;Xining
ZLYA;Yan An
ZLIC;Yinchuan
ZWYN;Yining
ZGZJ;Zhanjiang
ZHCC;Zhengzhou
